tier,display_name,n_originals,n_seeds_ok,n_train_human,n_train_bot_mean,n_heldout_orig,n_heldout_aug,sanity_accuracy_mean,sanity_accuracy_std,sanity_detection_rate_mean,sanity_detection_rate_std,sanity_human_pass_through_mean,sanity_human_pass_through_std,heldout_detection_rate_mean,heldout_detection_rate_std,heldout_aug_detection_rate_mean,heldout_aug_detection_rate_std
1,Commodity,126,5,143,1701.0,126,666,0.9923076923076923,0.007475579352365778,0.9936170212765958,0.008510638297872348,0.9903225806451612,0.0079015798154296,1.0,0.0,1.0,0.0
2,Careful Automation,158,5,143,1565.0,158,780,0.9917808219178081,0.0051255580640739125,0.9952380952380953,0.0058321184351980224,0.9870967741935484,0.0064516129032258,0.9962025316455696,0.0031006199275736596,0.9948717948717949,0.0
3,Semi-Automated,60,5,143,2125.0,60,288,0.996590909090909,0.004545454545454547,1.0,0.0,0.9903225806451612,0.0129032258064516,0.9266666666666667,0.008164965809277286,1.0,0.0
4,Trace-Conditioned,40,5,143,2331.0,40,96,0.9923076923076923,0.010190789555489792,0.9916666666666668,0.012909944487358053,0.9935483870967742,0.0079015798154296,1.0,0.0,1.0,0.0
5,LLM-Powered,55,5,143,2099.0,55,318,0.9966101694915255,0.004519774011299433,0.9965217391304348,0.006956521739130439,0.9967741935483871,0.0064516129032258,0.6399999999999999,0.2233923280495661,0.8786163522012579,0.16071120758424592
