Value,DG,PPO,soft
0.3,0.9594,0.9677,0.9723
0.5,0.9568,0.9678,0.9735
0.7,0.9581,0.9680,0.9742
1.0,0.9582,0.9661,0.9748
1.2,0.9589,0.9678,0.9738
