Value,DG,PPO,soft
-3.0,0.9590,0.9654,0.9734
-2.0,0.9575,0.9682,0.9771
-1.5,0.9593,0.9654,0.9757
-1.0,0.9566,0.9662,0.9740
-0.5,0.9558,0.9678,0.9758
