Value,DG,PPO,soft
-2.0,0.9584,0.9676,0.9769
-1.5,0.9584,0.9676,0.9760
-1.0,0.9590,0.9682,0.9762
-0.5,0.9570,0.9669,0.9756
-0.1,0.9552,0.9708,0.9734
