Value,DG,PPO,soft
0.01,0.9746,0.9869,0.9950
0.03,0.9651,0.9794,0.9863
0.05,0.9567,0.9702,0.9749
0.1,0.9366,0.9450,0.9466
0.15,0.9146,0.9175,0.9292
