Value,DG,PPO,soft
0.2,0.9556,0.9671,0.9772
0.3,0.9614,0.9665,0.9739
0.4,0.9583,0.9684,0.9772
0.5,0.9570,0.9666,0.9739
0.6,0.9554,0.9695,0.9772
