Value,DG,PPO,soft
0.0,0.9574,0.9683,0.9772
0.1,0.9581,0.9670,0.9755
0.3,0.9606,0.9664,0.9756
0.5,0.9556,0.9678,0.9753
0.7,0.9598,0.9694,0.9739
1.0,0.9582,0.9694,0.9742
