Value,DG,PPO,soft
0.5,0.9562,0.9661,0.9766
0.6,0.9557,0.9677,0.9763
0.7,0.9580,0.9683,0.9758
0.8,0.9597,0.9664,0.9744
0.9,0.9567,0.9667,0.9760
