Value,DG,PPO,soft
0.25,0.9563,0.9681,0.9751
0.5,0.9568,0.9686,0.9744
1.0,0.9602,0.9676,0.9763
1.5,0.9576,0.9655,0.9756
2.0,0.9606,0.9691,0.9742
