tier,display_name,n_originals,n_seeds_ok,n_train_human,n_train_bot_mean,n_heldout_orig,n_heldout_aug,sanity_accuracy_mean,sanity_accuracy_std,sanity_detection_rate_mean,sanity_detection_rate_std,sanity_human_pass_through_mean,sanity_human_pass_through_std,heldout_detection_rate_mean,heldout_detection_rate_std,heldout_aug_detection_rate_mean,heldout_aug_detection_rate_std
1,Commodity,126,5,143,219.0,126,0,0.9935897435897436,0.004054202128420985,0.997872340425532,0.004255319148936155,0.9870967741935484,0.0064516129032258,1.0,0.0,nan,nan
2,Careful Automation,158,5,143,197.0,158,0,0.9917808219178083,0.0051255580640739125,1.0,0.0,0.9806451612903226,0.012069862537980446,0.9962025316455696,0.0031006199275736596,nan,nan
3,Semi-Automated,60,5,143,265.0,60,0,0.9931818181818182,0.008350533214033552,0.9982456140350877,0.0035087719298245723,0.9838709677419356,0.017668469596940826,0.95,0.014907119849998594,nan,nan
4,Trace-Conditioned,40,5,143,279.0,40,0,0.9945054945054945,0.0034750303957894156,0.9949999999999999,0.004082482904638616,0.9935483870967742,0.0079015798154296,1.0,0.0,nan,nan
5,LLM-Powered,55,5,143,269.0,55,0,0.9932203389830508,0.004227861453981863,0.9965217391304348,0.004259982161362024,0.9870967741935484,0.012069862537980446,0.7781818181818181,0.1890909090909091,nan,nan
